,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss,ano
0,1100015,111290995,27013223,9376871,24651113,42700523,2002
1,1100023,449592816,28590178,99922936,161851549,116562182,2002
2,1100031,3176752,10883801,1961907,5128876,11925001,2002
3,1100049,474443097,32810376,98292764,175748703,117968303,2002
4,1100056,79173614,11283793,6651475,25306009,27731366,2002
5,1100064,87253575,14250128,10881687,23802929,31210022,2002
6,1100072,45164841,19766726,191867,5504377,15639582,2002
7,1100080,3730837,2892688,6970584,9632396,15798095,2002
8,1100098,119311538,22722863,19138662,28829369,39044156,2002
9,1100106,174680462,5674376,9378105,66325769,60567751,2002
10,1100114,306157578,33214782,53869088,95393674,84625278,2002
11,1100122,65739993,29941105,117048094,26102818,16738758,2002
12,1100130,83828417,1049864,1072017,18650873,38268481,2002
13,1100148,65740116,13953885,6044198,13111541,28000913,2002
14,1100155,191704391,24904747,21038733,65047842,62375313,2002
15,1100189,180336884,16376706,24636488,63130395,502811,2002
16,1100205,2325673091,49777646,435143334,95691114,54552461,2002
17,1100254,93482324,1741179,7121125,22861819,39539553,2002
18,1100262,15549444,6483577,631102,1864121,5735033,2002
19,1100288,231270037,16226213,41642283,76648834,74916671,2002
20,1100296,46044621,13233159,5238503,7245535,17841253,2002
21,1100304,448260273,25011079,9180798,172749263,95768722,2002
22,1100320,73737417,12713772,4074374,13695578,39207417,2002
23,1100338,51341322,888911,500518,9255414,25311529,2002
24,1100346,66869042,15053986,3940324,13954471,30276931,2002
25,1100379,46139178,12917461,2901849,7271061,20608577,2002
26,1100403,45060464,9171025,1992315,8865198,21812659,2002
27,1100452,97946328,12444423,13905912,20521497,45270909,2002
28,1100502,46574951,12073527,3184368,8291716,18800254,2002
29,1100601,27706768,13157971,882628,3501049,847342,2002
30,1100700,34792536,6601234,1594439,4166414,21147826,2002
31,1100809,61407339,6850543,19339516,9707301,23123302,2002
32,1100908,18452669,7367574,643103,2170301,7392489,2002
33,1100924,37622117,17924417,1838016,4847133,10726046,2002
34,1100940,33917474,415209,8343657,6971742,12477169,2002
35,1101005,43978728,12082494,17175,4590481,23899035,2002
36,1101104,37463083,6301092,8874828,7782648,12910342,2002
37,1101203,37732133,9339077,1940062,5866674,18463635,2002
38,1101302,45238859,8710455,3826594,9206199,2097177,2002
39,1101401,49520475,10108661,6396807,8812275,20902218,2002
40,1101435,28852437,9351054,1206832,337001,13666984,2002
41,1101450,15885707,5658333,609098,2335042,642379,2002
42,1101468,14809234,6463125,460465,203726,5034812,2002
43,1101476,18167129,5929092,558179,2945635,7289673,2002
44,1101484,23123765,6613625,103464,3069279,11389337,2002
45,1101492,49112809,8512874,5539279,10470721,2143001,2002
46,1101500,39708261,7964154,3536827,6140085,19867996,2002
47,1101559,20170405,6654016,752511,2621983,9062964,2002
48,1101609,40170849,13202214,1530146,4643374,18837442,2002
49,1101708,47557901,10574516,29505,7749087,23597496,2002
50,1101757,24444492,5148997,1625809,3241248,13253745,2002
51,1101807,3469208,10674479,1449915,505401,15660942,2002
52,1200013,39622197,14815072,287866,5232228,15156631,2002
53,1200054,12788642,2187524,806576,2219469,7318756,2002
54,1200104,72996862,20333084,4512561,14909178,30449579,2002
55,1200138,26742526,11131589,1204979,2423186,11593023,2002
56,1200179,32492341,11917264,4482793,3332604,10886417,2002
57,1200203,262001725,17335397,21138393,90164465,118012351,2002
58,1200252,53796568,11322134,4589162,14589133,20246643,2002
59,1200302,72818537,9412303,3842466,9538964,48817069,2002
60,1200328,14548504,2745404,86904,1410579,9332924,2002
61,1200336,31110925,495375,146181,410046,20229692,2002
62,1200344,19935774,341953,147937,2259232,12508702,2002
63,1200351,26714168,6647717,1797694,2134155,15719313,2002
64,1200385,54087545,17208489,2609288,652669,26827262,2002
65,1200393,16533397,3974199,113748,1549041,9675445,2002
66,1200401,1840092659,39217433,279044197,849788155,481917808,2002
67,1200427,2674875,7267482,1565169,2789136,14778091,2002
68,1200435,9012004,1134556,467739,1537898,5710373,2002
69,1200450,72770294,15900519,4952081,13406497,34883524,2002
70,1200500,125409625,42356801,8334782,20707708,51536765,2002
71,1200609,78553406,13134641,4072322,13779558,45825949,2002
72,1200708,4206983,12126396,1586105,6109891,21548319,2002
73,1200807,40454998,15795906,2208512,256116,19407872,2002
74,1300029,30812377,11621499,1322395,309369,14022106,2002
75,1300060,12273035,1575342,416144,1645559,82914,2002
76,1300086,1787695,6986718,991561,1903985,7577828,2002
77,1300102,263396,8398755,1193055,3740478,12423857,2002
78,1300144,38007163,13832694,1909963,477346,16421856,2002
79,1300201,20205237,369328,831177,3197566,12048555,2002
80,1300300,76038932,34072635,3677917,8944226,27712069,2002
81,1300409,3427894,3185654,823405,4315944,253886,2002
82,1300508,42637543,10935123,1586149,4592589,24557556,2002
83,1300607,57997917,11464115,2784155,1556248,26144937,2002
84,1300631,23694456,5282168,963827,2690252,14162625,2002
85,1300680,17068348,3018798,44351,2002315,1118768,2002
86,1300706,59575438,14909311,2924789,10677183,28696763,2002
87,1300805,79902836,29728185,6350564,1061869,31430218,2002
88,1300839,35090449,10758791,143331,11974919,10383607,2002
89,1300904,17772641,3618631,626236,2348788,10852817,2002
90,1301001,75824728,25940175,7222801,14368288,25333156,2002
91,1301100,66629738,2691478,351184,7332061,27086881,2002
92,1301159,160411534,106503774,10397519,21179452,18639069,2002
93,1301209,867190331,55309703,617068007,95662441,8409034,2002
94,1301308,62901464,18936158,1918904,21777422,1921365,2002
95,1301407,59044883,11809697,2552672,10901051,31812153,2002
96,1301506,29073287,4591065,843022,3270383,1968007,2002
97,1301605,66629642,20456838,2588854,6574484,35679261,2002
98,1301654,26049902,718351,864422,259819,14727921,2002
99,1301704,63209369,628965,4365084,17067264,32196387,2002
100,1301803,24117322,3764385,724154,2409024,16683391,2002
101,1301852,107620475,43779063,8076879,16554298,35471398,2002
102,1301902,253402175,83769354,20136883,56282482,81039922,2002
103,1301951,17240082,4694119,794923,184643,9496595,2002
104,1302009,17607863,1920936,533555,2502809,823939,2002
105,1302108,13798095,1567885,388384,1202589,10315006,2002
106,1302207,13437481,2371929,459501,1600079,8583102,2002
107,1302306,49341522,20981953,170845,3986403,21398781,2002
108,1302405,5595049,10796553,2443177,10964135,29765456,2002
109,1302504,32054678,14995947,22510285,55172473,80913543,2002
110,1302553,29246617,9725256,1056104,3123656,1470344,2002
111,1302603,17756162909,7675488,6963875126,528164804,1691263094,2002
112,1302702,8524894,3087167,3513201,11005173,37644124,2002
113,1302801,30069551,6725647,1065324,2395905,19376308,2002
114,1302900,7139567,8550998,2990584,14266036,43320368,2002
115,1303007,28545236,5940288,973539,4192552,16626298,2002
116,1303106,41191108,7564471,1481682,5423693,25747105,2002
117,1303205,17887328,2400928,939854,372375,10363456,2002
118,1303304,3389202,9801642,1341416,377177,18309893,2002
119,1303403,271104542,89588325,1463619,58099322,96208092,2002
120,1303502,26924544,467703,844807,2561001,18368514,2002
121,1303536,91287285,21428928,12553796,19775659,32943495,2002
122,1303569,68625589,33273946,4114595,8846759,20499212,2002
123,1303601,17829328,2038811,930075,2687137,11419754,2002
124,1303700,41917929,4565933,1010706,5914412,29624524,2002
125,1303809,58797039,2842638,2747125,1745549,32922482,2002
126,1303908,41156813,8660464,1334291,4466591,25864192,2002
127,1303957,12602096,2168875,45766,1593515,7886301,2002
128,1304005,22617318,8339765,102081,3189137,9327643,2002
129,1304062,66996665,396724,3839952,14254062,40189693,2002
130,1304104,32676214,6412509,956664,302742,21519856,2002
131,1304203,191903679,78314038,7364569,3552247,63257624,2002
132,1304237,21419622,2498109,468135,1593811,16574649,2002
133,1304260,22909501,7699544,1006947,2068452,11665826,2002
134,1304302,44064893,15432584,1553625,4830936,21315807,2002
135,1304401,27266547,8332773,1044235,5001526,12254883,2002
136,1400027,22590374,5396437,510531,1285898,1522403,2002
137,1400050,68702185,6354184,2063398,5693375,53415571,2002
138,1400100,1821017691,5382577,29694483,696820003,664272579,2002
139,1400159,47170416,9010093,2528221,4265557,30550235,2002
140,1400175,38786864,4670901,2535578,4567292,26094691,2002
141,1400209,73387182,34459,5686153,15113508,45805901,2002
142,1400233,24281864,3294864,1355168,3128776,15816713,2002
143,1400282,2152319,2308991,1330468,2372305,14874838,2002
144,1400308,51823527,3438635,5872644,8615092,31672698,2002
145,1400407,30579162,7781221,2342979,3873763,16063206,2002
146,1400456,4784767,10626422,4048937,10197721,21121114,2002
147,1400472,77288455,5313306,5087137,854331,56287586,2002
148,1400506,23476727,1740361,2016279,3980039,14566336,2002
149,1400605,24738397,1953911,1465617,4006707,16322656,2002
150,1400704,18818967,265473,437325,708929,17204245,2002
151,1500107,224354001,38152623,22444443,67324262,8596933,2002
152,1500131,32523449,16852009,4661209,4681692,53411,2002
153,1500206,197105776,111158392,13695719,24006948,42445714,2002
154,1500305,852428,44061346,5310671,9737425,24491576,2002
155,1500347,60185889,35420352,1459636,4327824,18038512,2002
156,1500404,100785033,37956907,4928742,2248087,32551325,2002
157,1500503,333434796,19581812,160031738,77650245,35819081,2002
158,1500602,284447394,49333912,33123617,108279409,73662724,2002
159,1500701,34140884,551327,5771667,5596168,1564116,2002
160,1500800,1356574871,5300306,26882818,644206499,270615377,2002
161,1500859,32829489,15346172,298141,531886,7780718,2002
162,1500909,50499649,14149298,1847068,7657218,25828723,2002
163,1500958,63534036,35794944,3904014,7883002,14960928,2002
164,1501006,18399002,404361,427823,1950802,11712239,2002
165,1501105,27952151,10346128,1676525,4014721,11213061,2002
166,1501204,54811619,21662105,4842209,76289,19380233,2002
167,1501253,26640743,18486303,753439,2702464,4279234,2002
168,1501303,1146809585,26015567,524762927,337472315,64648363,2002
169,1501402,8004080945,18304509,1392452341,438505082,1000789599,2002
170,1501451,27740439,9281019,1824007,4487012,11558554,2002
171,1501501,148878842,804823,20546336,66947246,27438159,2002
172,1501576,31131024,11060027,2890113,6147213,9989567,2002
173,1501600,16822078,5179692,951979,251097,7826348,2002
174,1501709,182841379,40013836,13248075,55322595,65406139,2002
