,id_municipio,ano,populacao
0,1100015,2002,27237
1,1100015,2006,29005
2,1100015,2010,24392
3,1100015,2014,25652
4,1100015,2018,23167
5,1100015,2022,22516
6,1100023,2002,78039
7,1100023,2006,86924
8,1100023,2010,90353
9,1100023,2014,102860
10,1100023,2018,106168
11,1100023,2022,111148
12,1100031,2002,7490
13,1100031,2006,7421
14,1100031,2010,6313
15,1100031,2014,6424
16,1100031,2018,5438
17,1100031,2022,5067
18,1100049,2002,74381
19,1100049,2006,76422
20,1100049,2010,78574
21,1100049,2014,86556
22,1100049,2018,84813
23,1100049,2022,86416
24,1100056,2002,17925
25,1100056,2006,17215
26,1100056,2010,17029
27,1100056,2014,18013
28,1100056,2018,16444
29,1100056,2022,16088
30,1100064,2002,20881
31,1100064,2006,18342
32,1100064,2010,18591
33,1100064,2014,19001
34,1100064,2018,16227
35,1100064,2022,15213
36,1100072,2002,10160
37,1100072,2006,9409
38,1100072,2010,8783
39,1100072,2014,8938
40,1100072,2018,7567
41,1100072,2022,7052
42,1100080,2002,9919
43,1100080,2006,11735
44,1100080,2010,13678
45,1100080,2014,16258
46,1100080,2018,17855
47,1100080,2022,19255
48,1100098,2002,26221
49,1100098,2006,27559
50,1100098,2010,28729
51,1100098,2014,32047
52,1100098,2018,32047
53,1100098,2022,33009
54,1100106,2002,39194
55,1100106,2006,42082
56,1100106,2010,41656
57,1100106,2014,46203
58,1100106,2018,45783
59,1100106,2022,46930
60,1100114,2002,54352
61,1100114,2006,56242
62,1100114,2010,52005
63,1100114,2014,55669
64,1100114,2018,51933
65,1100114,2022,51469
66,1100122,2002,108694
67,1100122,2006,113453
68,1100122,2010,116610
69,1100122,2014,129242
70,1100122,2018,127907
71,1100122,2022,131026
72,1100130,2002,24724
73,1100130,2006,29711
74,1100130,2010,31135
75,1100130,2014,36412
76,1100130,2018,39097
77,1100130,2022,41724
78,1100148,2002,17334
79,1100148,2006,18005
80,1100148,2010,19874
81,1100148,2014,21511
82,1100148,2018,20459
83,1100148,2022,20504
84,1100155,2002,40841
85,1100155,2006,40735
86,1100155,2010,37928
87,1100155,2014,40010
88,1100155,2018,36340
89,1100155,2022,35445
90,1100189,2002,31656
91,1100189,2006,31415
92,1100189,2010,33822
93,1100189,2014,37230
94,1100189,2018,36434
95,1100189,2022,37098
96,1100205,2002,347844
97,1100205,2006,380974
98,1100205,2010,428527
99,1100205,2014,494013
100,1100205,2018,519531
101,1100205,2022,548952
102,1100254,2002,26065
103,1100254,2006,25313
104,1100254,2010,22319
105,1100254,2014,22783
106,1100254,2018,19409
107,1100254,2022,18165
108,1100262,2002,3127
109,1100262,2006,3603
110,1100262,2010,3316
111,1100262,2014,3709
112,1100262,2018,3723
113,1100262,2022,3843
114,1100288,2002,48101
115,1100288,2006,49907
116,1100288,2010,50648
117,1100288,2014,55807
118,1100288,2018,54702
119,1100288,2022,55748
120,1100296,2002,11450
121,1100296,2006,11067
122,1100296,2010,8886
123,1100296,2014,8706
124,1100296,2018,6781
125,1100296,2022,5942
126,1100304,2002,57074
127,1100304,2006,65807
128,1100304,2010,76202
129,1100304,2014,89797
130,1100304,2018,97448
131,1100304,2022,104517
132,1100320,2002,25959
133,1100320,2006,31198
134,1100320,2010,21828
135,1100320,2014,23803
136,1100320,2018,22931
137,1100320,2022,23147
138,1100338,2002,16362
139,1100338,2006,20343
140,1100338,2010,22546
141,1100338,2014,26925
142,1100338,2018,29757
143,1100338,2022,32184
144,1100346,2002,19750
145,1100346,2006,19542
146,1100346,2010,16853
147,1100346,2014,17228
148,1100346,2018,14722
149,1100346,2022,13807
150,1100379,2002,13490
151,1100379,2006,15454
152,1100379,2010,12816
153,1100379,2014,13884
154,1100379,2018,13227
155,1100379,2022,13268
156,1100403,2002,14084
157,1100403,2006,16510
158,1100403,2010,17135
159,1100403,2014,19841
160,1100403,2018,20999
161,1100403,2022,22258
162,1100452,2002,30521
163,1100452,2006,42717
164,1100452,2010,32383
165,1100452,2014,37207
166,1100452,2018,38937
167,1100452,2022,41043
168,1100502,2002,12458
169,1100502,2006,12916
170,1100502,2010,10240
171,1100502,2014,10393
172,1100502,2018,8751
173,1100502,2022,8125
174,1100601,2002,5398
175,1100601,2006,5464
176,1100601,2010,5736
177,1100601,2014,6318
178,1100601,2018,6190
179,1100601,2022,6307
180,1100700,2002,13500
181,1100700,2006,18619
182,1100700,2010,12665
183,1100700,2014,14081
184,1100700,2018,14009
185,1100700,2022,14391
186,1100809,2002,14314
187,1100809,2006,17346
188,1100809,2010,19779
189,1100809,2014,23573
190,1100809,2018,25983
191,1100809,2022,28068
192,1100908,2002,4178
193,1100908,2006,4092
194,1100908,2010,3575
195,1100908,2014,3653
196,1100908,2018,3119
197,1100908,2022,2923
198,1100924,2002,5842
199,1100924,2006,6649
200,1100924,2010,8301
201,1100924,2014,9887
202,1100924,2018,10886
203,1100924,2022,11755
204,1100940,2002,7305
205,1100940,2006,9238
206,1100940,2010,15854
207,1100940,2014,20204
208,1100940,2018,24226
209,1100940,2022,27131
210,1101005,2002,15106
211,1101005,2006,18786
212,1101005,2010,10512
213,1101005,2014,10327
214,1101005,2018,8095
215,1101005,2022,7130
216,1101104,2002,7356
217,1101104,2006,8699
218,1101104,2010,8566
219,1101104,2014,9831
220,1101104,2018,10272
221,1101104,2022,10819
222,1101203,2002,11308
223,1101203,2006,11223
224,1101203,2010,10352
225,1101203,2014,10860
226,1101203,2018,9762
227,1101203,2022,9461
228,1101302,2002,13438
229,1101302,2006,14152
230,1101302,2010,11878
231,1101302,2014,12414
232,1101302,2018,11080
233,1101302,2022,10691
234,1101401,2002,13838
235,1101401,2006,16881
236,1101401,2010,14091
237,1101401,2014,15710
238,1101401,2018,15695
239,1101401,2022,16158
240,1101435,2002,8601
241,1101435,2006,9526
242,1101435,2010,7493
243,1101435,2014,7853
244,1101435,2018,7047
245,1101435,2022,6822
246,1101450,2002,3503
247,1101450,2006,3204
248,1101450,2010,4810
249,1101450,2014,5589
250,1101450,2018,5947
251,1101450,2022,6319
252,1101468,2002,2557
253,1101468,2006,2633
254,1101468,2010,2315
255,1101468,2014,2432
256,1101468,2018,2191
257,1101468,2022,2127
258,1101476,2002,4334
259,1101476,2006,4393
260,1101476,2010,3524
261,1101476,2014,3548
262,1101476,2018,2939
263,1101476,2022,2697
264,1101484,2002,7116
265,1101484,2006,7266
266,1101484,2010,6018
267,1101484,2014,6160
268,1101484,2018,5280
269,1101484,2022,4962
270,1101492,2002,13636
271,1101492,2006,17610
272,1101492,2010,16035
273,1101492,2014,18640
274,1101492,2018,19842
275,1101492,2022,21088
276,1101500,2002,12987
277,1101500,2006,16225
278,1101500,2010,11629
279,1101500,2014,12543
280,1101500,2018,11860
281,1101500,2022,11846
282,1101559,2002,5697
283,1101559,2006,5894
284,1101559,2010,4888
285,1101559,2014,5041
286,1101559,2018,4384
287,1101559,2022,4160
288,1101609,2002,12047
289,1101609,2006,14326
290,1101609,2010,10649
291,1101609,2014,11345
292,1101609,2018,10494
293,1101609,2022,10348
294,1101708,2002,15700
295,1101708,2006,17761
296,1101708,2010,12974
297,1101708,2014,13391
298,1101708,2018,11665
299,1101708,2022,11081
300,1101757,2002,8655
301,1101757,2006,10962
302,1101757,2010,9384
303,1101757,2014,10682
304,1101757,2018,11028
305,1101757,2022,11545
306,1101807,2002,10028
307,1101807,2006,10442
308,1101807,2010,8210
309,1101807,2014,8327
310,1101807,2018,6998
311,1101807,2022,6490
312,1200013,2002,8454
313,1200013,2006,11786
314,1200013,2010,12538
315,1200013,2014,13613
316,1200013,2018,15020
317,1200013,2022,15721
318,1200054,2002,3611
319,1200054,2006,5153
320,1200054,2010,6072
321,1200054,2014,6610
322,1200054,2018,7300
323,1200054,2022,7649
324,1200104,2002,17649
325,1200104,2006,18056
326,1200104,2010,21398
327,1200104,2014,23378
328,1200104,2018,25848
329,1200104,2022,27123
330,1200138,2002,6382
331,1200138,2006,8751
332,1200138,2010,8471
333,1200138,2014,9173
334,1200138,2018,10111
335,1200138,2022,10572
336,1200179,2002,5814
337,1200179,2006,7403
338,1200179,2010,8798
339,1200179,2014,10170
340,1200179,2018,11456
341,1200179,2022,12280
342,1200203,2002,71571
343,1200203,2006,86725
344,1200203,2010,78507
345,1200203,2014,80953
346,1200203,2018,87673
347,1200203,2022,89760
348,1200252,2002,11785
349,1200252,2006,14193
350,1200252,2010,15100
351,1200252,2014,16417
352,1200252,2018,18122
353,1200252,2022,18979
354,1200302,2002,28606
355,1200302,2006,39365
356,1200302,2010,32412
357,1200302,2014,32398
358,1200302,2018,34675
359,1200302,2022,34986
360,1200328,2002,4505
361,1200328,2006,4662
362,1200328,2010,6577
363,1200328,2014,7330
364,1200328,2018,8159
365,1200328,2022,8628
366,1200336,2002,11779
367,1200336,2006,13116
368,1200336,2010,15206
369,1200336,2014,16795
370,1200336,2018,18638
371,1200336,2022,19643
372,1200344,2002,6737
373,1200344,2006,7843
374,1200344,2010,7981
375,1200344,2014,8514
376,1200344,2018,9336
377,1200344,2022,9701
378,1200351,2002,8341
379,1200351,2006,8482
380,1200351,2010,14227
381,1200351,2014,16380
382,1200351,2018,18430
383,1200351,2022,19727
384,1200385,2002,15759
385,1200385,2006,17014
386,1200385,2010,17209
387,1200385,2014,17979
388,1200385,2018,19565
389,1200385,2022,20147
390,1200393,2002,5283
391,1200393,2006,4851
392,1200393,2010,9176
393,1200393,2014,10453
394,1200393,2018,11720
395,1200393,2022,12497
396,1200401,2002,267740
397,1200401,2006,314127
398,1200401,2010,336038
399,1200401,2014,363928
400,1200401,2018,401155
401,1200401,2022,419452
402,1200427,2002,8398
403,1200427,2006,9989
404,1200427,2010,14389
405,1200427,2014,16475
406,1200427,2018,18504
407,1200427,2022,19767
408,1200435,2002,2576
409,1200435,2006,3583
410,1200435,2010,4691
411,1200435,2014,5593
412,1200435,2018,6362
413,1200435,2022,6893
414,1200450,2002,20726
415,1200450,2006,21000
416,1200450,2010,20179
417,1200450,2014,20992
418,1200450,2018,22810
419,1200450,2022,23446
420,1200500,2002,30519
421,1200500,2006,33614
422,1200500,2010,38029
423,1200500,2014,41036
424,1200500,2018,45177
425,1200500,2022,47168
426,1200609,2002,26582
427,1200609,2006,30711
428,1200609,2010,35590
429,1200609,2014,38201
430,1200609,2018,41976
431,1200609,2022,43730
432,1200708,2002,12230
433,1200708,2006,13893
434,1200708,2010,16091
435,1200708,2014,17317
436,1200708,2018,19048
437,1200708,2022,19866
438,1200807,2002,11895
439,1200807,2006,12335
440,1200807,2010,14880
441,1200807,2014,16396
442,1200807,2018,18180
443,1200807,2022,19141
444,1300029,2002,12921
445,1300029,2006,14776
446,1300029,2010,14088
447,1300029,2014,15357
448,1300029,2018,15860
449,1300029,2022,16396
450,1300060,2002,7849
451,1300060,2006,9150
452,1300060,2010,9467
453,1300060,2014,10644
454,1300060,2018,11332
455,1300060,2022,11934
456,1300086,2002,6676
457,1300086,2006,6949
458,1300086,2010,10214
459,1300086,2014,11981
460,1300086,2018,13269
461,1300086,2022,14292
462,1300102,2002,11810
463,1300102,2006,12990
464,1300102,2010,16317
465,1300102,2014,18826
466,1300102,2018,20538
467,1300102,2022,21937
468,1300144,2002,15575
469,1300144,2006,19694
470,1300144,2010,18007
471,1300144,2014,20258
472,1300144,2018,21583
473,1300144,2022,22739
474,1300201,2002,10482
475,1300201,2006,11523
476,1300201,2010,15153
477,1300201,2014,17658
478,1300201,2018,19438
479,1300201,2022,20868
480,1300300,2002,25868
481,1300300,2006,29534
482,1300300,2010,32135
483,1300300,2014,36301
484,1300300,2018,38830
485,1300300,2022,41005
486,1300409,2002,26966
487,1300409,2006,33633
488,1300409,2010,25718
489,1300409,2014,27273
490,1300409,2018,27364
491,1300409,2022,27772
492,1300508,2002,23897
493,1300508,2006,27069
494,1300508,2010,27355
495,1300508,2014,30202
496,1300508,2018,31593
497,1300508,2022,32919
498,1300607,2002,24251
499,1300607,2006,26737
500,1300607,2010,33411
501,1300607,2014,38533
502,1300607,2018,42020
503,1300607,2022,44873
504,1300631,2002,11796
505,1300631,2006,13620
506,1300631,2010,15486
507,1300631,2014,17755
508,1300631,2018,19258
509,1300631,2022,20503
510,1300680,2002,11109
511,1300680,2006,12617
512,1300680,2010,14979
513,1300680,2014,17248
514,1300680,2018,18781
515,1300680,2022,20040
516,1300706,2002,27370
517,1300706,2006,28480
518,1300706,2010,30632
519,1300706,2014,33148
520,1300706,2018,33976
521,1300706,2022,34958
522,1300805,2002,31018
523,1300805,2006,36793
