passe_livre_inicio,id_municipio,passe_livre
2014.0,5201306,1.0
2008.0,5202502,1.0
2021.0,5208004,1.0
2021.0,5208905,1.0
1997.0,3100203,1.0
2019.0,3104106,1.0
2022.0,3104205,1.0
2021.0,3110004,1.0
2019.0,3111200,1.0
2021.0,3116605,1.0
2015.0,3133709,1.0
2021.0,3137205,1.0
2022.0,3140001,1.0
1994.0,3143104,1.0
2011.0,3144102,1.0
2022.0,3145901,1.0
2021.0,3158607,1.0
2021.0,3162922,1.0
2018.0,3162948,1.0
2022.0,3163706,1.0
2018.0,2301000,1.0
2021.0,2303709,1.0
2011.0,2304285,1.0
2001.0,4107603,1.0
2017.0,4109708,1.0
2001.0,4111506,1.0
2022.0,4115705,1.0
2022.0,4118204,1.0
2012.0,4119608,1.0
2022.0,4120804,1.0
2008.0,4128500,1.0
2022.0,4314050,1.0
2018.0,4314209,1.0
2002.0,3500709,1.0
2021.0,3503802,1.0
2020.0,3511508,1.0
2014.0,3514304,1.0
2022.0,3518305,1.0
2007.0,3519055,1.0
2021.0,3522406,1.0
2022.0,3523206,1.0
2004.0,3528007,1.0
2019.0,3532009,1.0
2020.0,3539103,1.0
1998.0,3540804,1.0
2021.0,3549953,1.0
2022.0,3553302,1.0
2019.0,3556453,1.0
2013.0,3302700,1.0
2018.0,3305000,1.0
2014.0,3305604,1.0
2021.0,3305752,1.0
