,id_municipio,razao_dependencia,taxa_envelhecimento,expectativa_anos_estudo,taxa_analfabetismo_18_mais,indice_gini,prop_pobreza_extrema,renda_pc,taxa_desocupacao_18_mais,taxa_ocupados_carteira,taxa_agua_encanada,populacao,populacao_urbana,populacao_rural,idhm
0,1100700,53.14,3.58,7.86,13.46,0.67,15.58,507.69,2.88,7.95,91.75,12665,3371,9294,0.593
1,1200302,82.09,3.79,7.03,37.81,0.68,36.51,259.43,5.4,21.02,69.53,32412,16636,15776,0.539
2,1200328,105.47,1.98,5.73,29.87,0.71,49.17,178.03,5.79,25.57,46.28,6577,2272,4305,0.469
3,1200435,92.26,1.75,4.72,27.62,0.78,63.05,201.58,5.3,25.17,65.93,4691,1892,2799,0.517
4,1200609,85.98,3.95,7.19,34.37,0.65,34.59,251.53,3.72,25.85,60.4,35590,19351,16239,0.539
5,1300201,72.92,2.87,4.63,37.39,0.65,44.75,159.21,8.06,7.23,36.29,15153,6893,8260,0.45
6,1300409,61.28,3.89,4.34,35.24,0.74,47.37,237.29,18.92,10.57,49.81,25718,11157,14561,0.5
7,1300631,94.16,4.1,6.83,27.95,0.65,43.29,193.4,5.9,3.64,54.61,15486,7778,7708,0.506
8,1301100,68.04,4.31,7.91,14.86,0.66,41.27,197.06,6.89,9.86,56.5,32734,9437,23297,0.557
9,1301654,82.74,3.18,6.97,35.2,0.74,51.48,191.04,3.76,10.87,62.11,13974,7427,6547,0.532
10,1301704,66.1,4.28,7.53,18.54,0.66,25.86,382.13,9.09,16.78,77.32,44227,30501,13726,0.605
11,1301951,81.16,2.64,5.84,40.71,0.8,55.51,214.95,6.74,3.49,52.1,8038,4472,3566,0.477
12,1302009,71.05,5.24,8.16,9.26,0.67,27.79,321.94,9.29,6.27,82.78,8211,6451,1760,0.654
13,1302306,95.88,3.4,6.37,30.74,0.69,40.95,214.36,5.5,1.29,63.7,17992,10552,7440,0.516
14,1302801,83.01,2.55,6.02,19.38,0.69,52.14,144.99,16.36,4.65,49.73,17528,8753,8775,0.498
15,1303007,74.35,5.56,8.85,9.85,0.65,43.78,195.12,14.04,4.06,47.52,18278,7010,11268,0.586
16,1303502,81.32,2.95,4.72,30.96,0.72,47.23,218.21,10.44,3.26,49.52,18166,9264,8902,0.496
17,1303601,92.7,3.98,4.8,33.43,0.72,55.11,141.04,6.24,2.45,45.24,18146,6856,11290,0.479
18,1303700,84.71,3.1,6.49,23.18,0.67,55.83,122.21,7.04,6.91,50.55,24481,12947,11534,0.49
19,1303809,74.34,4.58,7.5,15.87,0.8,42.56,355.51,4.39,10.85,43.43,37896,19054,18842,0.609
20,1304062,72.87,3.49,8.26,15.63,0.65,25.83,338.4,7.84,13.15,73.56,52272,36355,15917,0.616
21,1400027,88.88,3.88,4.72,39.65,0.75,59.89,121.32,20.96,13.76,55.65,9327,1219,8108,0.484
22,1400050,87.23,4.0,5.66,40.86,0.73,51.42,201.32,4.62,11.2,65.14,16448,4780,11668,0.542
23,1400159,86.2,4.19,8.2,14.71,0.72,34.94,329.22,5.89,9.49,91.78,10943,3711,7232,0.626
24,1400175,73.28,4.24,8.58,19.01,0.66,33.95,297.59,5.4,11.26,93.26,13902,2257,11645,0.619
25,1400308,61.54,4.54,8.38,18.62,0.71,22.23,487.66,6.15,19.98,94.38,14792,8935,5857,0.665
26,1400407,104.9,3.3,7.52,13.7,0.7,47.59,203.43,26.81,14.46,65.16,8940,2311,6629,0.594
27,1400456,83.87,3.0,8.52,10.79,0.74,39.16,388.35,6.16,14.56,79.57,10433,4514,5919,0.65
28,1400704,118.04,2.88,4.73,31.63,0.78,69.67,123.16,1.64,6.59,47.3,8375,1138,7237,0.453
29,1500305,82.38,3.81,6.59,31.73,0.66,45.65,163.98,12.24,5.96,26.56,35042,9478,25564,0.489
30,1500503,64.02,3.72,8.61,14.85,0.65,20.47,484.16,10.78,23.95,78.03,33614,19965,13649,0.642
31,1501725,55.42,5.47,8.68,19.15,0.67,26.63,408.55,4.2,6.4,81.02,15690,6899,8791,0.613
32,1502509,78.63,4.3,4.95,28.92,0.67,43.41,198.83,7.22,7.04,27.88,21005,2510,18495,0.453
33,1503754,56.87,2.17,5.91,29.01,0.69,42.41,289.16,6.26,5.6,68.44,14103,4930,9173,0.505
34,1505486,63.62,4.09,6.55,23.46,0.65,38.87,231.91,4.5,8.7,79.89,39979,13747,26232,0.515
35,1506005,77.24,3.85,7.18,18.98,0.68,42.48,193.32,4.76,5.32,62.85,29349,8959,20390,0.523
36,1506104,63.32,7.79,7.62,22.81,0.65,34.32,279.74,14.1,5.86,92.36,10268,6391,3877,0.577
37,1508126,57.24,2.13,6.9,16.07,0.7,11.7,558.72,13.21,49.92,85.58,43341,28525,14816,0.604
38,1600105,67.91,4.11,8.68,12.11,0.66,21.53,406.9,14.29,16.41,80.26,8069,6959,1110,0.642
39,1600204,69.52,3.22,8.9,14.03,0.67,22.76,417.71,11.0,20.05,87.0,9000,7307,1693,0.643
40,1600402,83.49,4.12,8.3,23.69,0.65,24.89,353.61,5.81,12.26,62.42,17032,8272,8760,0.592
41,1600501,63.17,2.04,8.55,9.82,0.69,21.31,598.38,7.78,18.13,84.3,20509,13852,6657,0.658
42,1600550,87.31,3.19,9.71,12.9,0.65,37.72,228.81,5.46,6.7,95.26,3793,1881,1912,0.614
43,1600709,80.48,3.59,8.51,18.66,0.65,36.87,250.2,8.99,13.09,81.57,12563,6516,6047,0.592
44,1700251,60.04,5.98,7.24,14.19,0.71,13.3,624.03,7.79,7.95,60.53,2391,1476,915,0.665
45,1702703,55.93,8.94,8.41,22.47,0.68,13.37,535.8,2.47,7.02,89.32,3446,2482,964,0.677
46,1703842,75.56,3.99,7.92,23.42,0.67,31.11,292.64,16.69,19.79,89.53,8139,4819,3320,0.544
47,1712405,73.5,7.92,9.06,24.24,0.74,48.36,302.83,4.96,3.78,79.68,3725,2583,1142,0.57
48,1716208,63.19,7.25,9.07,28.33,0.65,31.89,311.37,17.15,12.6,66.91,10338,4720,5618,0.595
49,2100501,66.04,6.06,9.58,23.34,0.78,25.58,559.61,12.34,14.88,84.9,10766,7028,3738,0.633
50,2100956,73.87,4.84,6.87,36.01,0.72,44.31,210.09,7.47,4.91,76.23,31702,12551,19151,0.512
51,2105476,75.82,5.5,6.75,36.92,0.67,54.26,127.24,4.41,4.22,75.15,15440,2519,12921,0.49
52,2110658,65.91,6.1,6.97,32.26,0.69,32.69,288.68,9.45,18.88,87.55,6983,4961,2022,0.59
53,2111508,64.65,7.19,9.58,34.02,0.68,23.7,396.29,11.98,19.4,82.21,39093,28712,10381,0.616
54,2202117,56.02,6.97,8.49,35.7,0.65,44.8,213.61,38.45,22.55,34.66,4693,1224,3469,0.537
55,2204402,64.69,7.07,6.81,24.86,0.68,37.16,285.45,8.01,16.53,81.54,10402,5991,4411,0.548
56,2204907,59.01,7.88,8.49,37.88,0.79,39.39,397.98,5.31,18.77,40.98,8221,1865,6356,0.582
57,2209757,63.01,6.69,8.15,26.78,0.67,35.08,281.43,20.27,24.58,78.78,2825,1219,1606,0.56
58,2304285,49.09,5.14,10.13,14.53,0.65,5.6,623.01,7.47,44.2,87.18,46033,46033,0,0.701
59,2312007,61.8,8.23,8.84,32.07,0.66,39.1,224.83,8.8,15.55,61.98,29946,15372,14574,0.587
60,2401305,53.38,9.48,8.84,31.12,0.68,23.56,388.39,6.41,17.11,55.03,9289,5002,4287,0.621
61,2500205,60.29,11.43,9.36,40.28,0.65,20.07,407.32,4.11,10.35,61.9,5530,2701,2829,0.597
62,2503209,44.03,5.97,9.85,11.24,0.7,5.27,1036.21,11.61,41.51,97.74,57944,57936,8,0.748
63,2611606,41.0,8.14,9.53,7.44,0.68,4.77,1144.26,12.11,51.19,97.45,1537704,1537704,0,0.772
64,2700904,60.1,6.44,8.22,41.81,0.65,43.52,187.77,4.72,13.64,40.13,7030,1171,5859,0.517
65,2703205,56.22,7.12,7.72,40.07,0.65,32.99,254.34,5.06,20.43,80.07,23292,4775,18517,0.568
66,2703304,74.96,7.15,7.47,43.74,0.67,44.91,180.64,3.66,6.81,42.16,17898,6699,11199,0.484
67,2913903,50.27,8.37,8.64,21.3,0.69,12.52,573.36,14.67,32.41,93.49,44390,40384,4006,0.67
68,2917706,52.84,8.87,9.41,19.25,0.66,22.46,439.23,10.05,31.72,80.27,30343,16612,13731,0.659
69,2920700,58.73,5.75,6.84,27.25,0.71,22.23,437.51,5.32,15.49,70.81,19101,3561,15540,0.593
70,2922102,59.02,8.45,8.15,24.89,0.65,22.36,346.89,9.06,13.68,74.3,24395,13564,10831,0.59
71,2931905,56.9,8.85,8.38,31.84,0.65,26.66,325.7,8.49,8.42,80.5,52418,21958,30460,0.579
72,3105301,42.73,8.22,9.09,10.47,0.34,0.25,554.52,3.67,48.88,95.25,5338,4870,468,0.692
73,3115508,47.03,11.04,9.57,6.33,0.65,1.04,963.25,9.71,51.23,98.78,21705,21252,453,0.743
74,3119955,41.08,8.57,9.55,10.02,0.32,1.58,477.36,6.79,48.39,91.54,5790,4430,1360,0.678
75,3135704,48.94,10.73,9.79,10.11,0.78,5.34,1007.03,4.51,28.83,82.32,5156,1963,3193,0.689
76,3139300,63.26,7.91,8.78,25.7,0.68,21.28,387.71,11.24,19.32,77.38,19813,13848,5965,0.642
77,3144805,37.78,7.01,9.77,3.01,0.68,0.51,1731.84,4.95,64.3,94.76,80998,79232,1766,0.813
