,id_municipio,latitude,longitude,uf,regiao
0,5200050,-16.7573,-49.4412,GO,Centro-Oeste
1,5200100,-16.197,-48.7057,GO,Centro-Oeste
2,5200134,-17.396,-50.3749,GO,Centro-Oeste
3,5200159,-16.4127,-50.1657,GO,Centro-Oeste
4,5200175,-14.9778,-47.7823,GO,Centro-Oeste
5,5200209,-18.0771,-48.7603,GO,Centro-Oeste
6,5200258,-15.7617,-48.2816,GO,Centro-Oeste
7,5200308,-16.0834,-48.5076,GO,Centro-Oeste
8,5200506,-17.7292,-49.4769,GO,Centro-Oeste
9,5200555,-14.1978,-49.3378,GO,Centro-Oeste
10,5200605,-14.1305,-47.51,GO,Centro-Oeste
11,5200803,-14.4797,-46.491,GO,Centro-Oeste
12,5200829,-13.9236,-49.2962,GO,Centro-Oeste
13,5200852,-16.2514,-49.9831,GO,Centro-Oeste
14,5200902,-16.6151,-51.0919,GO,Centro-Oeste
15,5201108,-16.3281,-48.953,GO,Centro-Oeste
16,5201207,-18.3339,-48.2204,GO,Centro-Oeste
17,5201306,-16.4642,-49.9617,GO,Centro-Oeste
18,5201405,-16.8198,-49.2469,GO,Centro-Oeste
19,5201454,-18.2941,-51.1516,GO,Centro-Oeste
20,5201504,-18.9607,-51.9232,GO,Centro-Oeste
21,5201603,-16.3563,-49.6804,GO,Centro-Oeste
22,5201702,-15.8955,-52.2372,GO,Centro-Oeste
23,5201801,-16.9087,-49.4476,GO,Centro-Oeste
24,5202155,-15.0909,-50.6315,GO,Centro-Oeste
25,5202353,-16.3837,-51.5563,GO,Centro-Oeste
26,5202502,-14.9166,-51.075,GO,Centro-Oeste
27,5202601,-16.6773,-50.4641,GO,Centro-Oeste
28,5202809,-16.4672,-49.7579,GO,Centro-Oeste
29,5203104,-16.1966,-52.5393,GO,Centro-Oeste
30,5203203,-14.9658,-48.9086,GO,Centro-Oeste
31,5203302,-16.9693,-48.9513,GO,Centro-Oeste
32,5203401,-16.2063,-52.1728,GO,Centro-Oeste
33,5203500,-18.2173,-49.74,GO,Centro-Oeste
34,5203559,-16.6173,-48.9616,GO,Centro-Oeste
35,5203575,-13.6329,-49.8106,GO,Centro-Oeste
36,5203609,-16.4281,-49.3863,GO,Centro-Oeste
37,5203807,-15.2428,-51.1602,GO,Centro-Oeste
38,5203906,-18.1378,-49.0404,GO,Centro-Oeste
39,5203939,-16.1792,-50.4302,GO,Centro-Oeste
40,5203962,-14.4772,-46.4076,GO,Centro-Oeste
41,5204003,-15.7995,-46.9265,GO,Centro-Oeste
42,5204102,-18.7618,-50.9432,GO,Centro-Oeste
43,5204201,-16.6635,-50.646,GO,Centro-Oeste
44,5204250,-18.4859,-49.4766,GO,Centro-Oeste
45,5204300,-18.5594,-51.1328,GO,Centro-Oeste
46,5204409,-16.9539,-51.8091,GO,Centro-Oeste
47,5204508,-17.7441,-48.6246,GO,Centro-Oeste
48,5204557,-16.7117,-49.0013,GO,Centro-Oeste
49,5204607,-16.7624,-49.695,GO,Centro-Oeste
50,5204656,-13.787,-48.5704,GO,Centro-Oeste
51,5204706,-14.3137,-49.1511,GO,Centro-Oeste
52,5204805,-17.6363,-47.7768,GO,Centro-Oeste
53,5204854,-16.2971,-49.0895,GO,Centro-Oeste
54,5204904,-13.035,-46.7681,GO,Centro-Oeste
55,5204953,-14.2442,-49.6528,GO,Centro-Oeste
56,5205000,-15.3549,-49.708,GO,Centro-Oeste
57,5205059,-18.0921,-50.203,GO,Centro-Oeste
58,5205109,-18.1656,-47.944,GO,Centro-Oeste
59,5205208,-16.4447,-49.4936,GO,Centro-Oeste
60,5205307,-13.7976,-47.4566,GO,Centro-Oeste
61,5205406,-15.3061,-49.6,GO,Centro-Oeste
62,5205455,-16.9718,-49.7758,GO,Centro-Oeste
63,5205471,-18.4073,-52.549,GO,Centro-Oeste
64,5205497,-16.0765,-47.9252,GO,Centro-Oeste
65,5205513,-15.7914,-48.7747,GO,Centro-Oeste
66,5205521,-14.1528,-48.076,GO,Centro-Oeste
67,5205703,-16.2918,-50.5503,GO,Centro-Oeste
68,5205802,-15.9245,-48.8117,GO,Centro-Oeste
69,5205901,-18.1415,-48.5626,GO,Centro-Oeste
70,5206206,-16.7676,-47.6131,GO,Centro-Oeste
71,5206305,-17.1987,-48.7034,GO,Centro-Oeste
72,5206404,-14.5412,-49.974,GO,Centro-Oeste
73,5206503,-17.2883,-49.3798,GO,Centro-Oeste
74,5206602,-18.2644,-48.1511,GO,Centro-Oeste
75,5206701,-14.5604,-46.178,GO,Centro-Oeste
76,5206800,-16.2544,-49.3631,GO,Centro-Oeste
77,5206909,-18.1501,-47.5568,GO,Centro-Oeste
78,5207105,-16.2329,-51.2543,GO,Centro-Oeste
79,5208301,-13.2853,-46.3999,GO,Centro-Oeste
80,5207253,-16.7188,-52.3189,GO,Centro-Oeste
81,5207352,-17.4239,-49.6644,GO,Centro-Oeste
82,5207402,-17.3406,-49.9295,GO,Centro-Oeste
83,5207501,-13.8665,-49.0716,GO,Centro-Oeste
84,5207535,-15.4473,-50.3622,GO,Centro-Oeste
85,5207600,-16.1834,-50.7781,GO,Centro-Oeste
86,5207808,-16.5778,-50.304,GO,Centro-Oeste
87,5207907,-14.4451,-47.0417,GO,Centro-Oeste
88,5208004,-15.54,-47.337,GO,Centro-Oeste
89,5208103,-13.6499,-48.8775,GO,Centro-Oeste
90,5208152,-16.4854,-48.6454,GO,Centro-Oeste
91,5208400,-16.5098,-49.0234,GO,Centro-Oeste
92,5208509,-18.1352,-48.0875,GO,Centro-Oeste
93,5208608,-15.3118,-49.1162,GO,Centro-Oeste
94,5208707,-16.6864,-49.2643,GO,Centro-Oeste
95,5208806,-16.4947,-49.427,GO,Centro-Oeste
96,5208905,-15.9333,-50.14,GO,Centro-Oeste
97,5209101,-18.0105,-49.3658,GO,Centro-Oeste
98,5209150,-18.6238,-50.0805,GO,Centro-Oeste
99,5209200,-16.8297,-49.5345,GO,Centro-Oeste
100,5209291,-15.6121,-50.0265,GO,Centro-Oeste
101,5209408,-13.9421,-46.4868,GO,Centro-Oeste
102,5209457,-14.7292,-49.7006,GO,Centro-Oeste
103,5209606,-15.719,-49.8268,GO,Centro-Oeste
104,5209705,-16.9626,-49.2265,GO,Centro-Oeste
105,5209804,-14.7261,-49.4634,GO,Centro-Oeste
106,5209903,-14.1011,-46.6335,GO,Centro-Oeste
