,id_estacao,data_fundacao,latitude,longitude,municipio
0,A001,2000-05-07,-15.78944444,-47.92583332,5300108
1,A042,2017-07-19,-15.59972221,-48.1311111,5300108
2,A045,2008-10-03,-15.596491,-47.625801,5300108
3,A046,2014-10-01,-15.93527777,-48.13749999,5300108
4,A047,2017-02-07,-16.012222,-47.557417,5300108
5,A002,2001-05-29,-16.642841,-49.220222,5208707
6,A003,2001-05-25,-17.745066,-49.101698,5213806
7,A005,2001-06-04,-13.30944444,-49.11749999,5218003
8,A011,2006-07-15,-18.969142,-50.633449,5220405
9,A012,2006-10-21,-16.26055555,-47.96694443,5212501
10,A013,2007-07-13,-15.90277777,-52.24527777,5201702
11,A014,2007-07-18,-15.93972221,-50.14138888,5208905
12,A015,2007-02-03,-14.97972221,-49.53999999,5210901
13,A016,2007-05-23,-17.923622,-51.717467,5211909
14,A017,2007-04-18,-14.08916666,-46.36638888,5218300
15,A022,2007-06-02,-15.22027777,-48.98999999,5208608
16,A023,2007-05-21,-16.96694443,-51.81749999,5204409
17,A024,2007-06-04,-14.13305554,-47.52333332,5200605
18,A025,2007-05-17,-17.78527777,-50.965,5218805
19,A026,2007-11-24,-17.45472222,-52.60111111,5213103
20,A027,2008-03-29,-16.962536,-50.42545,5216403
21,A028,2013-06-24,-16.42305554,-51.14888888,5210208
22,A029,2017-08-26,-17.33694444,-49.91472222,5207402
23,A031,2017-06-29,-12.82055554,-50.33583333,5220207
24,A032,2007-06-07,-13.253521,-46.890326,5213509
25,A033,2007-10-12,-17.30416666,-48.28416666,5217401
26,A034,2008-01-31,-18.154779,-47.927614,5205109
27,A035,2007-11-01,-18.409761,-49.192061,5211503
28,A036,2007-12-14,-16.78499999,-47.61305555,5206206
29,A037,2010-10-08,-16.67972221,-48.61805554,5220603
30,A056,2018-01-25,-16.39944444,-47.62583332,5206206
31,A702,2001-09-10,-20.447195,-54.722615,5002704
32,A703,2001-09-07,-22.5525,-55.71638888,5006606
33,A704,2001-09-03,-20.78333333,-51.71222222,5008305
34,A709,2003-02-08,-22.30055555,-53.82277777,5004700
35,A710,2006-11-10,-19.69555555,-51.18166666,5006309
36,A717,2006-08-02,-18.9886111,-56.62277777,5003207
37,A719,2006-11-01,-20.47555554,-55.78388888,5001102
38,A720,2006-11-06,-18.51222222,-54.7361111,5003306
39,A721,2006-10-18,-22.19388888,-54.91138888,5004502
40,A722,2006-11-02,-20.39555555,-56.43166666,5002159
41,A723,2006-10-24,-21.70583333,-57.88666666,5006903
42,A724,2006-10-26,-18.99667,-57.6375,5003207
43,A730,2006-12-20,-18.80222222,-52.6025,5002951
44,A731,2006-12-15,-21.60916666,-55.17749999,5005400
45,A732,2006-12-18,-19.42027777,-54.55305555,5007695
46,A742,2008-03-08,-19.12249999,-51.72083332,5002902
47,A743,2008-06-26,-21.774944,-54.528108,5007208
48,A749,2008-06-16,-22.85722222,-54.60555555,5005152
49,A750,2008-06-11,-23.0025,-55.32944443,5000609
50,A751,2008-06-03,-23.96694443,-55.02416666,5007703
51,A752,2008-05-28,-23.449501,-54.181858,5004601
52,A754,2008-09-29,-20.98166666,-54.97194443,5007901
53,A756,2010-08-14,-20.44444444,-52.87583332,5000203
54,A757,2011-08-09,-22.10166666,-56.54083333,5002100
55,A758,2011-08-04,-21.4786111,-56.13777777,5005004
56,A759,2013-03-21,-21.75,-52.47138888,5001904
57,A760,2012-12-04,-18.49277777,-53.17138888,5003256
58,A761,2012-11-30,-17.63527777,-54.76055555,5007935
59,S701,2018-04-09,-22.148083,-53.763736,5000856
60,S702,2018-04-13,-22.955028,-55.626,5001243
61,S703,2018-01-29,-19.94555555,-54.3686111,5001508
62,S704,2018-08-06,-21.24666666,-56.45055555,5002209
63,S705,2018-04-06,-21.29833333,-52.06888888,5002308
64,S706,2018-03-03,-22.657056,-54.819306,5002407
65,S707,2018-02-19,-19.58749999,-54.02999999,5002605
66,S708,2018-02-28,-22.30861111,-54.32583332,5003801
67,S709,2018-02-19,-23.64444444,-54.57027777,5004304
68,S710,2018-02-26,-22.092833,-54.798833,5004502
69,S711,2018-04-12,-22.575389,-55.160333,5005251
70,S712,2018-02-23,-21.450972,-54.341972,5006002
71,S713,2018-04-09,-22.0786111,-53.46583333,5006200
72,S714,2018-02-02,-18.07277777,-54.54888888,5006408
73,S715,2018-01-18,-20.466694,-53.763028,5007109
74,S716,2018-02-19,-21.305889,-52.820375,5007554
75,S717,2018-04-05,-20.35138888,-51.43027777,5007802
76,A901,2002-12-08,-15.559295,-56.062951,5103403
77,A902,2002-12-11,-14.65,-57.43166666,5107958
78,A903,2003-02-25,-13.45388888,-56.67722221,5107305
79,A904,2002-12-16,-12.555,-55.72277777,5107925
80,A905,2002-12-13,-13.78583333,-57.8386111,5102637
81,A906,2002-12-20,-9.9525,-54.89777777,5104104
